entity_id,state,last_changed
sensor.wasserbett_wassertemperatur_rechts,28.75,2026-04-28T22:00:00.000Z
sensor.wasserbett_wassertemperatur_rechts,28.6875,2026-04-28T22:06:09.452Z
sensor.wasserbett_wassertemperatur_rechts,28.75,2026-04-28T22:06:39.461Z
sensor.wasserbett_wassertemperatur_rechts,28.6875,2026-04-28T22:08:09.447Z
sensor.wasserbett_wassertemperatur_rechts,28.75,2026-04-28T22:08:39.475Z
sensor.wasserbett_wassertemperatur_rechts,28.6875,2026-04-28T22:09:39.451Z
sensor.wasserbett_wassertemperatur_rechts,28.75,2026-04-28T22:12:39.454Z
sensor.wasserbett_wassertemperatur_rechts,28.6875,2026-04-28T22:13:09.454Z
sensor.wasserbett_wassertemperatur_rechts,28.75,2026-04-28T22:13:39.454Z
sensor.wasserbett_wassertemperatur_rechts,28.6875,2026-04-28T22:15:09.456Z
sensor.wasserbett_wassertemperatur_rechts,28.75,2026-04-28T22:15:39.476Z
sensor.wasserbett_wassertemperatur_rechts,28.6875,2026-04-28T22:16:39.478Z
sensor.wasserbett_wassertemperatur_rechts,28.625,2026-04-28T22:27:09.466Z
sensor.wasserbett_wassertemperatur_rechts,28.6875,2026-04-28T22:27:39.481Z
sensor.wasserbett_wassertemperatur_rechts,28.625,2026-04-28T22:34:09.468Z
sensor.wasserbett_wassertemperatur_rechts,28.6875,2026-04-28T22:34:39.486Z
sensor.wasserbett_wassertemperatur_rechts,28.625,2026-04-28T22:35:39.486Z
sensor.wasserbett_wassertemperatur_rechts,28.6875,2026-04-28T22:36:09.476Z
sensor.wasserbett_wassertemperatur_rechts,28.625,2026-04-28T22:37:09.490Z
sensor.wasserbett_wassertemperatur_rechts,28.6875,2026-04-28T22:38:09.474Z
sensor.wasserbett_wassertemperatur_rechts,28.625,2026-04-28T22:39:09.479Z
sensor.wasserbett_wassertemperatur_rechts,28.6875,2026-04-28T22:39:39.485Z
sensor.wasserbett_wassertemperatur_rechts,28.625,2026-04-28T22:41:09.491Z
sensor.wasserbett_wassertemperatur_rechts,28.6875,2026-04-28T22:41:39.491Z
sensor.wasserbett_wassertemperatur_rechts,28.625,2026-04-28T22:42:09.475Z
sensor.wasserbett_wassertemperatur_rechts,28.6875,2026-04-28T22:43:09.475Z
sensor.wasserbett_wassertemperatur_rechts,28.625,2026-04-28T22:44:09.475Z
sensor.wasserbett_wassertemperatur_rechts,28.6875,2026-04-28T22:44:39.490Z
sensor.wasserbett_wassertemperatur_rechts,28.625,2026-04-28T22:45:09.475Z
sensor.wasserbett_wassertemperatur_rechts,28.6875,2026-04-28T22:46:09.498Z
sensor.wasserbett_wassertemperatur_rechts,28.625,2026-04-28T22:46:39.495Z
sensor.wasserbett_wassertemperatur_rechts,28.6875,2026-04-28T22:48:39.495Z
sensor.wasserbett_wassertemperatur_rechts,28.625,2026-04-28T22:49:09.479Z
sensor.wasserbett_wassertemperatur_rechts,28.6875,2026-04-28T22:50:09.479Z
sensor.wasserbett_wassertemperatur_rechts,28.625,2026-04-28T22:50:39.495Z
sensor.wasserbett_wassertemperatur_rechts,28.5625,2026-04-28T23:07:09.496Z
sensor.wasserbett_wassertemperatur_rechts,28.625,2026-04-28T23:07:39.509Z
sensor.wasserbett_wassertemperatur_rechts,28.5625,2026-04-28T23:08:39.510Z
sensor.wasserbett_wassertemperatur_rechts,28.625,2026-04-28T23:09:09.494Z
sensor.wasserbett_wassertemperatur_rechts,28.5625,2026-04-28T23:11:39.513Z
sensor.wasserbett_wassertemperatur_rechts,28.625,2026-04-28T23:12:39.512Z
sensor.wasserbett_wassertemperatur_rechts,28.5625,2026-04-28T23:13:39.515Z
sensor.wasserbett_wassertemperatur_rechts,28.625,2026-04-28T23:15:09.523Z
sensor.wasserbett_wassertemperatur_rechts,28.5625,2026-04-28T23:15:39.524Z
sensor.wasserbett_wassertemperatur_rechts,28.625,2026-04-28T23:16:39.533Z
sensor.wasserbett_wassertemperatur_rechts,28.5625,2026-04-28T23:17:09.508Z
sensor.wasserbett_wassertemperatur_rechts,28.625,2026-04-28T23:17:39.520Z
sensor.wasserbett_wassertemperatur_rechts,28.5625,2026-04-28T23:18:39.521Z
sensor.wasserbett_wassertemperatur_rechts,28.625,2026-04-28T23:19:39.534Z
sensor.wasserbett_wassertemperatur_rechts,28.5625,2026-04-28T23:20:09.527Z
sensor.wasserbett_wassertemperatur_rechts,28.625,2026-04-28T23:21:39.527Z
sensor.wasserbett_wassertemperatur_rechts,28.5625,2026-04-28T23:22:09.511Z
sensor.wasserbett_wassertemperatur_rechts,28.625,2026-04-28T23:28:09.518Z
sensor.wasserbett_wassertemperatur_rechts,28.5625,2026-04-28T23:28:39.687Z
sensor.wasserbett_wassertemperatur_rechts,28.5,2026-04-28T23:38:09.577Z
sensor.wasserbett_wassertemperatur_rechts,28.5625,2026-04-28T23:38:39.561Z
